magic_number,mode,euler_x,euler_y,dt,dt_observer,footer,
3735928559,1,0.013867728412151337,0.015955794602632523,0.001370999962091446,64942224.0,3405707998,
3735928559,1,0.01890859566628933,0.003754299134016037,0.0013760000001639128,65012948.0,3405707998,
3735928559,1,0.03344031050801277,-0.0232755858451128,0.0013760000001639128,65085324.0,3405707998,
3735928559,1,0.06362391263246536,-0.05166575312614441,0.001383999944664538,65153448.0,3405707998,
3735928559,1,0.05583035573363304,-0.056852344423532486,0.001370999962091446,65226920.0,3405707998,
3735928559,1,0.05260556936264038,-0.05300008878111839,0.0013790000230073929,65296716.0,3405707998,
3735928559,1,0.05372275039553642,-0.0463775135576725,0.0020280000753700733,65368636.0,3405707998,
3735928559,1,0.05448995903134346,-0.044686805456876755,0.001398000051267445,65444672.0,3405707998,
3735928559,1,0.054941851645708084,-0.04328746348619461,0.001370999962091446,65518928.0,3405707998,
3735928559,1,0.05509611591696739,-0.04395658150315285,0.0013760000001639128,65589752.0,3405707998,
3735928559,1,0.05524124950170517,-0.043426692485809326,0.0017630000365898013,65664500.0,3405707998,
3735928559,1,0.055324554443359375,-0.043125540018081665,0.0013770000077784061,65739060.0,3405707998,
3735928559,1,0.05519476160407066,-0.04416303336620331,0.002263000002130866,65814728.0,3405707998,
3735928559,1,0.055079128593206406,-0.043497927486896515,0.0013800000306218863,65889680.0,3405707998,
3735928559,1,0.05532233044505119,-0.04360338672995567,0.002087000058963895,65965384.0,3405707998,
3735928559,1,0.05506151169538498,-0.0462537445127964,0.002078999998047948,66035880.0,3405707998,
3735928559,1,0.05515756830573082,-0.04687515273690224,0.0013780000153928995,66109176.0,3405707998,
3735928559,1,0.05491316691040993,-0.047078002244234085,0.00215300009585917,66183044.0,3405707998,
3735928559,1,0.054802101105451584,-0.04884673282504082,0.0013780000153928995,66251856.0,3405707998,
3735928559,1,0.054899293929338455,-0.04770830273628235,0.002391000045463443,66323888.0,3405707998,
3735928559,1,0.055106841027736664,-0.0460851788520813,0.0013729999773204327,66392768.0,3405707998,
3735928559,1,0.055456552654504776,-0.04520902782678604,0.0022700000554323196,66467292.0,3405707998,
3735928559,1,0.05579763278365135,-0.04387126490473747,0.0013729999773204327,66542164.0,3405707998,
3735928559,1,0.055837806314229965,-0.04281771928071976,0.0023590000346302986,66615696.0,3405707998,
3735928559,1,0.05602867528796196,-0.043353158980607986,0.0013780000153928995,66691224.0,3405707998,
